AvailabilityZone,BilledCost,BillingAccountId,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargePeriodEnd,ChargePeriodStart,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,ListCost,ListUnitPrice,PricingCategory,PricingCurrency,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ServiceName,SkuId,SkuPriceId,SubAccountId,SubAccountName,x_ConsumptionModelId,x_CostType,x_Credits,x_CurrencyConversionRate,x_ExportTime,x_Labels,x_Location,x_Project,x_ProjectLabels,x_ServiceId,x_SubscriptionInstanceId,x_SystemLabels,x_Tags
,92.23,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Google Kubernetes Engine Autopilot Pod vCPU,2026-05-03 00:00:00,2026-05-02 00:00:00,61.900,hour,92.23,1.489984,92.23,101.79,1.644426,Standard,USD,1.489984,92.23,1.644426,61.900,hour,Google Cloud,Google Cloud,europe-west4,Netherlands,//container.googleapis.com/projects/acme-platform-prod/locations/europe-west4/clusters/cluster-0164,cluster-0164,Google Kubernetes Engine,7F3A-2C68-B04D,7F3A-2C68-B04D-price,acme-platform-prod,Acme Platform Production,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""payments""},{""Key"":""system"",""Value"":""event-bus""}]",europe-west4,"{""Id"":""acme-platform-prod"",""Name"":""Acme Platform Production"",""Number"":""123456789000""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",CCD8-9BF1-090E,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,36.33,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,BigQuery Analysis,2026-05-03 00:00:00,2026-05-02 00:00:00,561.280,tebibyte,36.33,0.064727,36.33,40.37,0.071925,Standard,USD,0.064727,36.33,0.071925,561.280,tebibyte,Google Cloud,Google Cloud,europe-west4,Netherlands,//bigquery.googleapis.com/projects/acme-sandbox/locations/europe-west4/datasets/dataset-0275,dataset-0275,BigQuery,D5B1-8E44-70A9,D5B1-8E44-70A9-price,acme-sandbox,Acme Development Sandbox,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""data-eng""},{""Key"":""system"",""Value"":""event-bus""}]",europe-west4,"{""Id"":""acme-sandbox"",""Name"":""Acme Development Sandbox"",""Number"":""123456789003""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",24E6-581D-38E5,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""sandbox"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,52.49,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Google Kubernetes Engine Autopilot Pod vCPU,2026-05-03 00:00:00,2026-05-02 00:00:00,425.260,hour,52.49,0.123430,52.49,61.93,0.145629,Standard,USD,0.123430,52.49,0.145629,425.260,hour,Google Cloud,Google Cloud,europe-west1,Belgium,//container.googleapis.com/projects/acme-payments-prod/locations/europe-west1/clusters/cluster-0433,cluster-0433,Google Kubernetes Engine,7F3A-2C68-B04D,7F3A-2C68-B04D-price,acme-payments-prod,Acme Payments Production,,regular,[],1.000000,2026-06-02 04:17:33,[],europe-west1,"{""Id"":""acme-payments-prod"",""Name"":""Acme Payments Production"",""Number"":""123456789001""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",CCD8-9BF1-090E,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]",[]
,40.90,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud Storage Standard Storage EU,2026-05-03 00:00:00,2026-05-02 00:00:00,322.430,gibibyte month,40.90,0.126849,40.90,50.21,0.155724,Standard,USD,0.126849,40.90,0.155724,322.430,gibibyte month,Google Cloud,Google Cloud,europe-west4,Netherlands,//storage.googleapis.com/projects/acme-data-prod/locations/europe-west4/buckets/bucket-0220,bucket-0220,Cloud Storage,E5F0-6A48-F9C1,E5F0-6A48-F9C1-price,acme-data-prod,Acme Data Analytics,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""platform""},{""Key"":""system"",""Value"":""api-gateway""}]",europe-west4,"{""Id"":""acme-data-prod"",""Name"":""Acme Data Analytics"",""Number"":""123456789002""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",95FF-2EF5-5EA1,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""staging"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
us-central1-a,0.00,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Compute Engine usage covered by Committed use discount: N2 vCPU (3 year),2026-05-03 00:00:00,2026-05-02 00:00:00,22.720,hour,16.90,0.743838,16.90,27.26,1.199824,Committed,USD,0.743838,16.90,1.199824,22.720,hour,Google Cloud,Google Cloud,us-central1,Iowa,//compute.googleapis.com/projects/acme-payments-prod/zones/us-central1-a/instances/instance-0908,instance-0908,Compute Engine,2E27-4F75-95CD,2E27-4F75-95CD-price,acme-payments-prod,Acme Payments Production,,regular,"[{""Id"":""cud-compute-n2-3yr-us-central1"",""FullName"":""Committed use discount: N2 vCPU (3 year)"",""Type"":""COMMITTED_USAGE_DISCOUNT"",""Name"":""Committed use discount: N2 vCPU (3 year)"",""Amount"":-10.36}]",1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""platform""},{""Key"":""system"",""Value"":""api-gateway""}]",us-central1,"{""Id"":""acme-payments-prod"",""Name"":""Acme Payments Production"",""Number"":""123456789001""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",6F81-5844-456A,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,29.73,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,"Confluent, Inc. — Confluent Cloud eCKU",2026-05-03 00:00:00,2026-05-02 00:00:00,239057.430,hour,29.73,0.000124,29.73,0.00,0.000000,Standard,USD,0.000124,29.73,0.000000,239057.430,hour,Google Cloud,"Confluent, Inc.",europe-west1,Belgium,//cloudcommerceconsumerprocurement.googleapis.com/projects/acme-platform-prod/locations/europe-west1/clusters/cluster-0541,cluster-0541,Confluent Cloud,B8D2-1F35-6C07,B8D2-1F35-6C07-price,acme-platform-prod,Acme Platform Production,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""security""},{""Key"":""system"",""Value"":""api-gateway""}]",europe-west1,"{""Id"":""acme-platform-prod"",""Name"":""Acme Platform Production"",""Number"":""123456789000""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",C0AF-0C4B-3A1D,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
asia-southeast1-a,106.39,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Compute Engine N2 Instance Core running,2026-05-04 00:00:00,2026-05-03 00:00:00,234.570,hour,106.39,0.453553,106.39,121.67,0.518694,Standard,USD,0.453553,106.39,0.518694,234.570,hour,Google Cloud,Google Cloud,asia-southeast1,Singapore,//compute.googleapis.com/projects/acme-platform-prod/zones/asia-southeast1-a/instances/instance-0312,instance-0312,Compute Engine,2E27-4F75-95CD,2E27-4F75-95CD-price,acme-platform-prod,Acme Platform Production,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""payments""},{""Key"":""system"",""Value"":""api-gateway""}]",asia-southeast1,"{""Id"":""acme-platform-prod"",""Name"":""Acme Platform Production"",""Number"":""123456789000""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",6F81-5844-456A,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""sandbox"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,91.41,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud SQL Cloud SQL for PostgreSQL: vCPU,2026-05-04 00:00:00,2026-05-03 00:00:00,12.590,hour,91.41,7.260524,91.41,121.91,9.683082,Standard,USD,7.260524,91.41,9.683082,12.590,hour,Google Cloud,Google Cloud,asia-southeast1,Singapore,//cloudsql.googleapis.com/projects/acme-data-prod/locations/asia-southeast1/instances/instance-0184,instance-0184,Cloud SQL,4B6D-7C15-9E22,4B6D-7C15-9E22-price,acme-data-prod,Acme Data Analytics,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""platform""},{""Key"":""system"",""Value"":""ledger""}]",asia-southeast1,"{""Id"":""acme-data-prod"",""Name"":""Acme Data Analytics"",""Number"":""123456789002""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",9662-B51E-5089,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""sandbox"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,99.81,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud Storage Standard Storage EU,2026-05-04 00:00:00,2026-05-03 00:00:00,638.990,gibibyte month,99.81,0.156200,99.81,135.27,0.211693,Standard,USD,0.156200,99.81,0.211693,638.990,gibibyte month,Google Cloud,Google Cloud,europe-west4,Netherlands,//storage.googleapis.com/projects/acme-sandbox/locations/europe-west4/buckets/bucket-0488,bucket-0488,Cloud Storage,E5F0-6A48-F9C1,E5F0-6A48-F9C1-price,acme-sandbox,Acme Development Sandbox,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""data-eng""},{""Key"":""system"",""Value"":""risk-engine""}]",europe-west4,"{""Id"":""acme-sandbox"",""Name"":""Acme Development Sandbox"",""Number"":""123456789003""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",95FF-2EF5-5EA1,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
us-east4-a,59.36,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Compute Engine N2 Instance Core running,2026-05-04 00:00:00,2026-05-03 00:00:00,654.830,hour,59.36,0.090649,59.36,65.05,0.099339,Standard,USD,0.090649,59.36,0.099339,654.830,hour,Google Cloud,Google Cloud,us-east4,Northern Virginia,//compute.googleapis.com/projects/acme-sandbox/zones/us-east4-a/instances/instance-0323,instance-0323,Compute Engine,2E27-4F75-95CD,2E27-4F75-95CD-price,acme-sandbox,Acme Development Sandbox,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""data-eng""},{""Key"":""system"",""Value"":""risk-engine""}]",us-east4,"{""Id"":""acme-sandbox"",""Name"":""Acme Development Sandbox"",""Number"":""123456789003""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",6F81-5844-456A,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""sandbox"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
europe-west4-a,128.27,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Compute Engine N2 Instance Core running,2026-05-04 00:00:00,2026-05-03 00:00:00,513.010,hour,128.27,0.250034,128.27,159.17,0.310267,Standard,USD,0.250034,128.27,0.310267,513.010,hour,Google Cloud,Google Cloud,europe-west4,Netherlands,//compute.googleapis.com/projects/acme-payments-prod/zones/europe-west4-a/instances/instance-0317,instance-0317,Compute Engine,2E27-4F75-95CD,2E27-4F75-95CD-price,acme-payments-prod,Acme Payments Production,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""data-eng""},{""Key"":""system"",""Value"":""risk-engine""}]",europe-west4,"{""Id"":""acme-payments-prod"",""Name"":""Acme Payments Production"",""Number"":""123456789001""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",6F81-5844-456A,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""production"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
,145.28,01ABCD-234567-89EFGH,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Cloud Run Cloud Run CPU Allocation Time,2026-05-04 00:00:00,2026-05-03 00:00:00,335.010,second,145.28,0.433659,145.28,169.36,0.505537,Standard,USD,0.433659,145.28,0.505537,335.010,second,Google Cloud,Google Cloud,europe-west1,Belgium,//run.googleapis.com/projects/acme-platform-prod/locations/europe-west1/services/service-0226,service-0226,Cloud Run,A1C3-9B27-4D65,A1C3-9B27-4D65-price,acme-platform-prod,Acme Platform Production,,regular,[],1.000000,2026-06-02 04:17:33,"[{""Key"":""team"",""Value"":""payments""},{""Key"":""system"",""Value"":""api-gateway""}]",europe-west1,"{""Id"":""acme-platform-prod"",""Name"":""Acme Platform Production"",""Number"":""123456789000""}","[{""Key"":""cost-center"",""Value"":""cc-2087""},{""Key"":""environment"",""Value"":""production""}]",152E-C115-5142,,"[{""Key"":""compute.googleapis.com/machine_spec"",""Value"":""n2-standard-4""}]","[{""Key"":""environment"",""Value"":""sandbox"",""x_Inherited"":false,""x_Namespace"":""123456789012/environment""}]"
