BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_Discounts,x_Operation,x_ServiceCode
92.23,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,61.900,WriteRequestUnits,92.23,1.489984,92.23,4419826371,Amazon Web Services EMEA SARL,101.79,1.644426,Standard,61.900,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:dynamodb:eu-central-1:111111111111:table/table-0164,table-0164,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""payments"",""system"":""event-bus"",""environment"":""production""}","{""Enterprise Discount Program"":9.56}",PutItem,AmazonDynamoDB
36.33,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AmazonCloudWatch DataProcessing-Bytes,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,561.280,GB,36.33,0.064727,36.33,4419826371,Amazon Web Services EMEA SARL,40.37,0.071925,Standard,561.280,GB,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:logs:eu-central-1:444444444444:log-group/log-group-0275,log-group-0275,log-group,Management and Governance,AmazonCloudWatch,Observability,B3TDFXKP9WNC7SLM,DataProcessing-Bytes,B3TDFXKP9WNC7SLM.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""data-eng"",""system"":""event-bus"",""environment"":""sandbox""}","{""Enterprise Discount Program"":4.04}",PutLogEvents,AmazonCloudWatch
52.49,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,425.260,WriteRequestUnits,52.49,0.123430,52.49,4419826371,Amazon Web Services EMEA SARL,61.93,0.145629,Standard,425.260,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:dynamodb:eu-west-1:222222222222:table/table-0433,table-0433,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,222222222222,Acme Payments Production,Account,{},"{""Enterprise Discount Program"":9.44}",PutItem,AmazonDynamoDB
40.90,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Simple Storage Service TimedStorage-ByteHrs,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,322.430,GB-Mo,40.90,0.126849,40.90,4419826371,Amazon Web Services EMEA SARL,50.21,0.155724,Standard,322.430,GB-Mo,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:s3:eu-central-1:333333333333:bucket/bucket-0220,bucket-0220,bucket,Storage,Amazon Simple Storage Service,Object Storage,WMYPY7NCFQZK5D8H,TimedStorage-ByteHrs,WMYPY7NCFQZK5D8H.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""platform"",""system"":""api-gateway"",""environment"":""staging""}","{""Enterprise Discount Program"":9.31}",PutObject,AmazonS3
0.00,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud usage covered by compute-sp-3yr-noupfront,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,Spend,arn:aws:savingsplans::100000000000:savingsplan/sp-0a1b2c3d4e5f6a7b8,compute-sp-3yr-noupfront,2.000000,Used,Savings Plan,USD/hour,22.720,Hrs,16.90,0.743838,16.90,4419826371,Amazon Web Services EMEA SARL,27.26,1.199824,Committed,22.720,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:ec2:us-east-1:222222222222:instance/instance-0908,instance-0908,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""platform"",""system"":""api-gateway"",""environment"":""production""}",{},RunInstances,AmazonEC2
29.73,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Anthropic — metered usage,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,239057.430,tokens,29.73,0.000124,29.73,4419826371,Amazon Web Services EMEA SARL,0.00,0.000000,Standard,239057.430,tokens,AWS,Anthropic,eu-west-1,Europe (Ireland),arn:aws:aws-marketplace:eu-west-1:111111111111:model/model-0541,model-0541,model,AI and Machine Learning,,Generative AI,,,,111111111111,Acme Platform Production,Account,"{""team"":""security"",""system"":""api-gateway"",""environment"":""production""}",{},InvokeModelInference,
106.39,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,234.570,Hrs,106.39,0.453553,106.39,4419826371,Amazon Web Services EMEA SARL,121.67,0.518694,Standard,234.570,Hrs,AWS,"Amazon Web Services, Inc.",ap-southeast-1,Asia Pacific (Singapore),arn:aws:ec2:ap-southeast-1:111111111111:instance/instance-0312,instance-0312,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""payments"",""system"":""api-gateway"",""environment"":""sandbox""}","{""Enterprise Discount Program"":15.28}",RunInstances,AmazonEC2
91.41,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,12.590,Hrs,91.41,7.260524,91.41,4419826371,Amazon Web Services EMEA SARL,121.91,9.683082,Standard,12.590,Hrs,AWS,"Amazon Web Services, Inc.",ap-southeast-1,Asia Pacific (Singapore),arn:aws:rds:ap-southeast-1:333333333333:db/db-0184,db-0184,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""platform"",""system"":""ledger"",""environment"":""sandbox""}","{""Enterprise Discount Program"":30.5}",CreateDBInstance:0002,AmazonRDS
99.81,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Simple Storage Service TimedStorage-ByteHrs,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,638.990,GB-Mo,99.81,0.156200,99.81,4419826371,Amazon Web Services EMEA SARL,135.27,0.211693,Standard,638.990,GB-Mo,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:s3:eu-central-1:444444444444:bucket/bucket-0488,bucket-0488,bucket,Storage,Amazon Simple Storage Service,Object Storage,WMYPY7NCFQZK5D8H,TimedStorage-ByteHrs,WMYPY7NCFQZK5D8H.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""data-eng"",""system"":""risk-engine"",""environment"":""production""}","{""Enterprise Discount Program"":35.46}",PutObject,AmazonS3
59.36,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,654.830,Hrs,59.36,0.090649,59.36,4419826371,Amazon Web Services EMEA SARL,65.05,0.099339,Standard,654.830,Hrs,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),arn:aws:ec2:us-west-2:444444444444:instance/instance-0323,instance-0323,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""data-eng"",""system"":""risk-engine"",""environment"":""sandbox""}","{""Enterprise Discount Program"":5.69}",RunInstances,AmazonEC2
128.27,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,513.010,Hrs,128.27,0.250034,128.27,4419826371,Amazon Web Services EMEA SARL,159.17,0.310267,Standard,513.010,Hrs,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:ec2:eu-central-1:222222222222:instance/instance-0317,instance-0317,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""data-eng"",""system"":""risk-engine"",""environment"":""production""}","{""Enterprise Discount Program"":30.9}",RunInstances,AmazonEC2
145.28,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,AWS Lambda Lambda-GB-Second,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,335.010,seconds,145.28,0.433659,145.28,4419826371,Amazon Web Services EMEA SARL,169.36,0.505537,Standard,335.010,seconds,AWS,"Amazon Web Services, Inc.",eu-west-1,Europe (Ireland),arn:aws:lambda:eu-west-1:111111111111:function/function-0226,function-0226,function,Compute,AWS Lambda,Serverless Compute,QKR2N6MTXH8VD4FC,Lambda-GB-Second,QKR2N6MTXH8VD4FC.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""payments"",""system"":""api-gateway"",""environment"":""sandbox""}","{""Enterprise Discount Program"":24.08}",Invoke,AWSLambda
0.00,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud usage covered by compute-sp-3yr-noupfront,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,Spend,arn:aws:savingsplans::100000000000:savingsplan/sp-0a1b2c3d4e5f6a7b8,compute-sp-3yr-noupfront,2.000000,Used,Savings Plan,USD/hour,21.760,Hrs,13.19,0.606158,13.19,4419826371,Amazon Web Services EMEA SARL,21.27,0.977482,Committed,21.760,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:ec2:us-east-1:444444444444:instance/instance-0910,instance-0910,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""security"",""system"":""api-gateway"",""environment"":""staging""}",{},RunInstances,AmazonEC2
8.86,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Anthropic — metered usage,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,291655.450,tokens,8.86,0.000030,8.86,4419826371,Amazon Web Services EMEA SARL,0.00,0.000000,Standard,291655.450,tokens,AWS,Anthropic,us-west-2,US West (Oregon),arn:aws:aws-marketplace:us-west-2:111111111111:model/model-0526,model-0526,model,AI and Machine Learning,,Generative AI,,,,111111111111,Acme Platform Production,Account,"{""team"":""platform"",""system"":""event-bus"",""environment"":""staging""}",{},InvokeModelInference,
82.64,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,709.070,Hrs,82.64,0.116547,82.64,4419826371,Amazon Web Services EMEA SARL,96.27,0.135769,Standard,709.070,Hrs,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:ec2:eu-central-1:333333333333:instance/instance-0315,instance-0315,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""security"",""system"":""api-gateway"",""environment"":""sandbox""}","{""Enterprise Discount Program"":13.63}",RunInstances,AmazonEC2
136.42,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,541.480,Hrs,136.42,0.251939,136.42,4419826371,Amazon Web Services EMEA SARL,168.08,0.310409,Standard,541.480,Hrs,AWS,"Amazon Web Services, Inc.",us-east-1,US East (N. Virginia),arn:aws:rds:us-east-1:222222222222:db/db-0368,db-0368,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,222222222222,Acme Payments Production,Account,"{""team"":""payments"",""system"":""ledger"",""environment"":""sandbox""}","{""Enterprise Discount Program"":31.66}",CreateDBInstance:0002,AmazonRDS
111.96,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Elastic Compute Cloud BoxUsage:m5.large,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,300.740,Hrs,111.96,0.372282,111.96,4419826371,Amazon Web Services EMEA SARL,133.77,0.444803,Standard,300.740,Hrs,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),arn:aws:ec2:us-west-2:333333333333:instance/instance-0359,instance-0359,instance,Compute,Amazon Elastic Compute Cloud,Virtual Machines,HZC9FAP4F9Y8JW67,BoxUsage:m5.large,HZC9FAP4F9Y8JW67.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""data-eng"",""system"":""event-bus"",""environment"":""production""}","{""Enterprise Discount Program"":21.81}",RunInstances,AmazonEC2
94.72,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,341.730,Hrs,94.72,0.277178,94.72,4419826371,Amazon Web Services EMEA SARL,105.69,0.309279,Standard,341.730,Hrs,AWS,"Amazon Web Services, Inc.",eu-central-1,Europe (Frankfurt),arn:aws:rds:eu-central-1:333333333333:db/db-0257,db-0257,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,333333333333,Acme Data Analytics,Account,"{""team"":""data-eng"",""system"":""event-bus"",""environment"":""production""}","{""Enterprise Discount Program"":10.97}",CreateDBInstance:0002,AmazonRDS
114.15,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon DynamoDB WriteRequestUnits,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,131.850,WriteRequestUnits,114.15,0.865757,114.15,4419826371,Amazon Web Services EMEA SARL,136.20,1.032992,Standard,131.850,WriteRequestUnits,AWS,"Amazon Web Services, Inc.",ap-southeast-1,Asia Pacific (Singapore),arn:aws:dynamodb:ap-southeast-1:111111111111:table/table-0174,table-0174,table,Databases,Amazon DynamoDB,NoSQL Databases,F5NQ8ZJVCT2XR6WD,WriteRequestUnits,F5NQ8ZJVCT2XR6WD.JRTCKXETXF,111111111111,Acme Platform Production,Account,"{""team"":""data-eng"",""system"":""event-bus"",""environment"":""sandbox""}","{""Enterprise Discount Program"":22.05}",PutItem,AmazonDynamoDB
46.89,100000000000,Acme Corp Payer,BillingAccount,USD,2026-06-01 00:00:00,2026-05-01 00:00:00,Usage,,Amazon Relational Database Service InstanceUsage:db.r5.large,Usage-Based,2026-05-05 00:00:00,2026-05-04 00:00:00,,,,,,,,259.250,Hrs,46.89,0.180868,46.89,4419826371,Amazon Web Services EMEA SARL,57.45,0.221601,Standard,259.250,Hrs,AWS,"Amazon Web Services, Inc.",us-west-2,US West (Oregon),arn:aws:rds:us-west-2:444444444444:db/db-0304,db-0304,db,Databases,Amazon Relational Database Service,Relational Databases,V9J2XQ4YRB6PS3TM,InstanceUsage:db.r5.large,V9J2XQ4YRB6PS3TM.JRTCKXETXF,444444444444,Acme Development Sandbox,Account,"{""team"":""payments"",""system"":""api-gateway"",""environment"":""production""}","{""Enterprise Discount Program"":10.56}",CreateDBInstance:0002,AmazonRDS
