BilledCost,BillingAccountId,BillingAccountName,BillingAccountType,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,InvoiceId,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingCurrency,PricingQuantity,PricingUnit,ProviderName,PublisherName,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,SubAccountType,Tags,x_AccountName,x_BilledCostInUsd,x_BillingProfileName,x_CostCenter,x_EffectiveCostInUsd,x_InvoiceSectionName,x_PublisherCategory,x_ResourceGroupName,x_SkuMeterCategory,x_SkuMeterName,x_SkuServiceFamily
92.23,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Cosmos DB RU/s Provisioned Throughput,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,61.900,100 RU/s Hours,92.23,1.489984,92.23,G019283746,Microsoft,101.79,1.644426,Standard,EUR,61.900,100 RU/s Hours,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-databaseaccounts/providers/microsoft.documentdb/databaseaccounts/databaseaccounts-0164,databaseaccounts-0164,Microsoft.DocumentDB/databaseAccounts,Databases,Azure Cosmos DB,NoSQL Databases,DZH318Z0BPZ7,RU/s Provisioned Throughput,"{""MeterId"":""DZH318Z0BPZ7"",""TierMinimumUnits"":0}",DZH318Z0BPZ7/RU/s-Provisioned-Throughput,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""payments"",""System"":""event-bus"",""Environment"":""production""}",Platform Production,100.53,Acme Corp Billing Profile,cc-2087,100.53,Engineering,Microsoft,rg-acme-databaseaccounts,Azure Cosmos DB,RU/s Provisioned Throughput,Databases
36.33,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Monitor Data Ingestion,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,561.280,GB,36.33,0.064727,36.33,G019283746,Microsoft,40.37,0.071925,Standard,EUR,561.280,GB,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-workspaces/providers/microsoft.operationalinsights/workspaces/workspaces-0275,workspaces-0275,Microsoft.OperationalInsights/workspaces,Management and Governance,Azure Monitor,Observability,DZH318Z0BS3Q,Data Ingestion,"{""MeterId"":""DZH318Z0BS3Q"",""TierMinimumUnits"":0}",DZH318Z0BS3Q/Data-Ingestion,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""data-eng"",""System"":""event-bus"",""Environment"":""sandbox""}",Development Sandbox,39.60,Acme Corp Billing Profile,cc-2087,39.60,Engineering,Microsoft,rg-acme-workspaces,Azure Monitor,Data Ingestion,Management and Governance
52.49,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Cosmos DB RU/s Provisioned Throughput,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,425.260,100 RU/s Hours,52.49,0.123430,52.49,G019283746,Microsoft,61.93,0.145629,Standard,EUR,425.260,100 RU/s Hours,Microsoft,Microsoft,westeurope,West Europe,/subscriptions/3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2/resourcegroups/rg-acme-databaseaccounts/providers/microsoft.documentdb/databaseaccounts/databaseaccounts-0433,databaseaccounts-0433,Microsoft.DocumentDB/databaseAccounts,Databases,Azure Cosmos DB,NoSQL Databases,DZH318Z0BPZ7,RU/s Provisioned Throughput,"{""MeterId"":""DZH318Z0BPZ7"",""TierMinimumUnits"":0}",DZH318Z0BPZ7/RU/s-Provisioned-Throughput,3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2,Payments Production,Subscription,{},Payments Production,57.21,Acme Corp Billing Profile,cc-2087,57.21,Engineering,Microsoft,rg-acme-databaseaccounts,Azure Cosmos DB,RU/s Provisioned Throughput,Databases
40.90,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Blob Storage Hot LRS Data Stored,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,322.430,GB/Month,40.90,0.126849,40.90,G019283746,Microsoft,50.21,0.155724,Standard,EUR,322.430,GB/Month,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-storageaccounts/providers/microsoft.storage/storageaccounts/storageaccounts-0220,storageaccounts-0220,Microsoft.Storage/storageAccounts,Storage,Azure Blob Storage,Object Storage,DZH318Z0BNZ4,Hot LRS Data Stored,"{""MeterId"":""DZH318Z0BNZ4"",""TierMinimumUnits"":0}",DZH318Z0BNZ4/Hot-LRS-Data-Stored,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""platform"",""System"":""api-gateway"",""Environment"":""staging""}",Data Analytics,44.58,Acme Corp Billing Profile,cc-2087,44.58,Engineering,Microsoft,rg-acme-storageaccounts,Azure Blob Storage,Hot LRS Data Stored,Storage
0.00,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines usage covered by ri-d4sv5-westeurope-3yr,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,Usage,/providers/Microsoft.Capacity/reservationOrders/9d4a6c31-77b2-4f0e-9c1a-6b8e2d5f3a10/reservations/4c7f1b8e-2a93-4d6c-8e05-1f7b9a3c6d24,ri-d4sv5-westeurope-3yr,4.000000,Used,Reservation,Hours,22.720,Hours,16.90,0.743838,16.90,G019283746,Microsoft,27.26,1.199824,Committed,EUR,22.720,Hours,Microsoft,Microsoft,eastus,East US,/subscriptions/3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0908,virtualmachines-0908,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2,Payments Production,Subscription,"{""Team"":""platform"",""System"":""api-gateway"",""Environment"":""production""}",Payments Production,0.00,Acme Corp Billing Profile,cc-2087,18.42,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
29.73,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Datadog — Pro Host Hours,Usage-Based,2026-05-03 00:00:00,2026-05-02 00:00:00,,,,,,,,239057.430,Hours,29.73,0.000124,29.73,G019283746,Microsoft,0.00,0.000000,Standard,EUR,239057.430,Hours,Microsoft,Datadog,westeurope,West Europe,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-monitors/providers/datadog.monitor/monitors/monitors-0541,monitors-0541,Datadog.Monitor/monitors,Management and Governance,Datadog Pro,Observability,DZH318Z0C1WY,Pro Host Hours,"{""MeterId"":""DZH318Z0C1WY"",""TierMinimumUnits"":0}",DZH318Z0C1WY/Pro-Host-Hours,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""security"",""System"":""api-gateway"",""Environment"":""production""}",Platform Production,32.41,Acme Corp Billing Profile,cc-2087,32.41,Engineering,Marketplace,rg-acme-monitors,Datadog Pro,Pro Host Hours,Management and Governance
106.39,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines D4s v5 Compute Hours,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,234.570,Hours,106.39,0.453553,106.39,G019283746,Microsoft,121.67,0.518694,Standard,EUR,234.570,Hours,Microsoft,Microsoft,southeastasia,Southeast Asia,/subscriptions/3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0312,virtualmachines-0312,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0001-4a5b-9c3d-8e2f10a4b6c1,Platform Production,Subscription,"{""Team"":""payments"",""System"":""api-gateway"",""Environment"":""sandbox""}",Platform Production,115.97,Acme Corp Billing Profile,cc-2087,115.97,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
91.41,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure SQL Database vCore General Purpose,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,12.590,Hours,91.41,7.260524,91.41,G019283746,Microsoft,121.91,9.683082,Standard,EUR,12.590,Hours,Microsoft,Microsoft,southeastasia,Southeast Asia,/subscriptions/3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3/resourcegroups/rg-acme-databases/providers/microsoft.sql/databases/databases-0184,databases-0184,Microsoft.Sql/servers/databases,Databases,Azure SQL Database,Relational Databases,DZH318Z0BPZ2,vCore General Purpose,"{""MeterId"":""DZH318Z0BPZ2"",""TierMinimumUnits"":0}",DZH318Z0BPZ2/vCore-General-Purpose,3f1e7c20-0003-4a5b-9c3d-8e2f10a4b6c3,Data Analytics,Subscription,"{""Team"":""platform"",""System"":""ledger"",""Environment"":""sandbox""}",Data Analytics,99.64,Acme Corp Billing Profile,cc-2087,99.64,Engineering,Microsoft,rg-acme-databases,Azure SQL Database,vCore General Purpose,Databases
99.81,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Azure Blob Storage Hot LRS Data Stored,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,638.990,GB/Month,99.81,0.156200,99.81,G019283746,Microsoft,135.27,0.211693,Standard,EUR,638.990,GB/Month,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-storageaccounts/providers/microsoft.storage/storageaccounts/storageaccounts-0488,storageaccounts-0488,Microsoft.Storage/storageAccounts,Storage,Azure Blob Storage,Object Storage,DZH318Z0BNZ4,Hot LRS Data Stored,"{""MeterId"":""DZH318Z0BNZ4"",""TierMinimumUnits"":0}",DZH318Z0BNZ4/Hot-LRS-Data-Stored,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""data-eng"",""System"":""risk-engine"",""Environment"":""production""}",Development Sandbox,108.79,Acme Corp Billing Profile,cc-2087,108.79,Engineering,Microsoft,rg-acme-storageaccounts,Azure Blob Storage,Hot LRS Data Stored,Storage
59.36,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines D4s v5 Compute Hours,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,654.830,Hours,59.36,0.090649,59.36,G019283746,Microsoft,65.05,0.099339,Standard,EUR,654.830,Hours,Microsoft,Microsoft,westus2,West US 2,/subscriptions/3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0323,virtualmachines-0323,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0004-4a5b-9c3d-8e2f10a4b6c4,Development Sandbox,Subscription,"{""Team"":""data-eng"",""System"":""risk-engine"",""Environment"":""sandbox""}",Development Sandbox,64.70,Acme Corp Billing Profile,cc-2087,64.70,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
128.27,8611537,Acme Corp MCA,BillingAccount,EUR,2026-06-01 00:00:00,2026-05-01 00:00:00,,,Usage,,Virtual Machines D4s v5 Compute Hours,Usage-Based,2026-05-04 00:00:00,2026-05-03 00:00:00,,,,,,,,513.010,Hours,128.27,0.250034,128.27,G019283746,Microsoft,159.17,0.310267,Standard,EUR,513.010,Hours,Microsoft,Microsoft,northeurope,North Europe,/subscriptions/3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2/resourcegroups/rg-acme-virtualmachines/providers/microsoft.compute/virtualmachines/virtualmachines-0317,virtualmachines-0317,Microsoft.Compute/virtualMachines,Compute,Virtual Machines,Virtual Machines,DZH318Z0BQ4P,D4s v5 Compute Hours,"{""MeterId"":""DZH318Z0BQ4P"",""TierMinimumUnits"":0}",DZH318Z0BQ4P/D4s-v5-Compute-Hours,3f1e7c20-0002-4a5b-9c3d-8e2f10a4b6c2,Payments Production,Subscription,"{""Team"":""data-eng"",""System"":""risk-engine"",""Environment"":""production""}",Payments Production,139.81,Acme Corp Billing Profile,cc-2087,139.81,Engineering,Microsoft,rg-acme-virtualmachines,Virtual Machines,D4s v5 Compute Hours,Compute
